release_group_id,title,primary_type,secondary_types,first_release_date,artist_name,artist_ids,disambiguation,genres,tags,score,lb_total_listen_count,lb_total_user_count,artist_name_meta,tags_meta,lb_sitewide_listen_count_month,artist_catalog_strength,lastfm_source_used,lastfm_listeners,lastfm_playcount,lastfm_tags_item,lastfm_album_name,lastfm_track_name,lastfm_url,lastfm_error,lastfm_country_chart_hits,lastfm_best_country_rank,lastfm_total_country_playcount,lastfm_countries,days_since_release,log1p_lb_total_listen_count,log1p_lb_total_user_count,log1p_lb_sitewide_listen_count_month,log1p_artist_catalog_strength,score_popularity,score_users,score_sitewide,score_artist_strength,score_recency,trend_score_v0
87e897ec-1ae3-4729-860a-4d9b3f64177b,Rookie,EP,,2017-02-01,Red Velvet,4f0cb3b7-6c06-4317-ae35-ddf3106a17ee,,k-pop|pop,k-pop|pop,,38889.0,821.0,Red Velvet,pop|k-pop,,,album.getInfo,6824.0,295503.0,k-pop|2017|kpop|best of 2017|pop,Rookie,,https://www.last.fm/music/Red+Velvet/Rookie,,,,,,3348,10.568492427149794,6.71174039505618,0.0,0.0,1.0,0.8867529285025203,0.0,0.0,1.0,62.735058570050406
67a7fda9-cb08-4e6e-84f7-a8d291181448,Superclean Vol. I,EP,,2017-11-03,The Marías,7a3970c9-ecd8-4eee-a267-4d8c77d97ff3,,dream pop|neo soul|psychedelic,dream pop|indie|neo soul|psychedelic,,18110.0,1763.0,The Marías,indie|psychedelic|dream pop|neo soul,,,album.getInfo,17761.0,163946.0,wsum 91.7 fm madison|cloud nine|sophisti-pop|dream pop|bedroom pop,Superclean Vol. I,,https://www.last.fm/music/The+Mar%C3%ADas/Superclean+Vol.+I,,,,,,3073,9.804274767464536,7.475339236566737,0.0,0.0,0.9276890564143254,0.9876393557262823,0.0,0.0,1.0,62.221904089027035
11fb47d1-6804-42f8-9fac-de54e3356b63,ROY PABLO,EP,,2017-05-19,boy pablo,512171a4-d41a-4df6-838d-de0a47aea068,,indie pop|indie rock|pop,indie|indie pop|indie rock|pop,,16810.0,1731.0,boy pablo,indie rock|indie|indie pop|pop,,,album.getInfo,601108.0,8372363.0,bedroom pop|role certo|the rewind|wsum 91.7 fm madison|2017,Roy Pablo,,https://www.last.fm/music/boy+pablo/Roy+Pablo,,,,,,3241,9.72978871303306,7.4570320891223805,0.0,0.0,0.9206411207749785,0.9852206214407953,0.0,0.0,1.0,61.926851655940155
75013bad-b5b2-408c-ace9-da0aa550ee3f,The Red Summer,EP,,2017-07-09,Red Velvet,4f0cb3b7-6c06-4317-ae35-ddf3106a17ee,,,,,27988.0,813.0,Red Velvet,,,,album.getInfo,9192.0,319391.0,k-pop|kpop|summer|best of 2017|pop,The Red Summer,,https://www.last.fm/music/Red+Velvet/The+Red+Summer,,,,,,3190,10.239566854825899,6.70196036600254,0.0,0.0,0.9688767745644681,0.885460794287892,0.0,0.0,1.0,61.61990299551422
476f2b56-82ce-4853-bbda-aebaa5d48647,Nervous System,EP,,2017-07-28,Julia Michaels,4757df70-6c3e-46b8-99c0-a68644595c9a,,pop,pop,,14082.0,1609.0,Julia Michaels,pop,,,album.getInfo,439868.0,3868677.0,2017|pop|vocal harmonies|romantic lyrics|justin tranter,Nervous System,,https://www.last.fm/music/Julia+Michaels/Nervous+System,,,,,,3171,9.55272367519805,7.383989457978509,0.0,0.0,0.9038870719779959,0.9755702530922121,0.0,0.0,1.0,61.14745258107409
06b06476-dfd9-4042-bd10-8b129b7b2e4f,KILL YOURSELF PART XII: The Dark Glacier Saga,EP,,2017-05-25,$uicideboy$,ef326b3d-61f0-4379-aca0-21237d696d63,,cloud rap|hip hop|trap,car on cover|cloud rap|hip hop|post-nerdcore|trap,,14401.0,940.0,$uicideboy$,car on cover|cloud rap|trap|hip hop|post-nerdcore,,,album.getInfo,349871.0,8155308.0,rhythmic|introspective|male vocals|southern hip hop|future,KILL YOURSELF PART XII: The Dark Glacier Saga,,https://www.last.fm/music/$uicideboy$/KILL+YOURSELF+PART+XII:+The+Dark+Glacier+Saga,,,,,,3235,9.575122364808813,6.846943139585379,0.0,0.0,0.9060064555859381,0.9046158705407966,0.0,0.0,1.0,59.80254335632377
0884fb83-49fe-49ed-b7d1-c1fe1b39cb09,"Globe, Vol. 3",EP,,2017-11-10,The Toxic Avenger,124212e2-801e-481c-ac31-6038a4389603,,electronic,electronic,,9592.0,1451.0,The Toxic Avenger,electronic,,,album.getInfo,71151.0,501435.0,electronic|electro|french|house|new rave,"Globe, Vol. 3",,"https://www.last.fm/music/The+Toxic+Avenger/Globe,+Vol.+3",,,,,,3066,9.168788944817948,7.280697195384741,0.0,0.0,0.8675588318787932,0.9619233134081112,0.0,0.0,1.0,59.603025383919984
9e35dc26-a3ec-42e6-bd85-2328bf3e2b44,Too Real Remixes,EP,,2017-12-05,Giraffage,15d60916-47e0-4f09-83f4-9e466a284830,,electronic|house,electronic|house,,8138.0,1659.0,Giraffage,electronic|house,,,album.getInfo,28.0,107.0,,Too Real Remixes,,https://www.last.fm/music/Giraffage/Too+Real+Remixes,,,,,,3041,9.004422601327041,7.414572881350589,0.0,0.0,0.8520063446509405,0.9796109249064557,0.0,0.0,1.0,59.412440560912025
8857b09b-0b8b-49c8-add2-70641361520d,Reflective (Part 2),EP,,2017-12-01,Bassnectar,5d7c4cfc-29e7-4c83-8893-ae02679fc9f4,,dubstep|electronic|electronica,dubstep|electronic|electronica,,6742.0,1936.0,Bassnectar,electronic|dubstep|electronica,,,album.getInfo,39820.0,216159.0,dubstep|glitch|trap|glitch-hop|electronic,Reflective (Part 2),,https://www.last.fm/music/Bassnectar/Reflective+(Part+2),,,,,,3045,8.816260208734581,7.5688956634069955,0.0,0.0,0.8342022544375546,1.0,0.0,0.0,1.0,59.19707890531441
555d8166-23db-413e-bfff-90df73a21430,idle,EP,,2017-10-27,Jeremy Zucker,e116e0be-c371-4d57-bc09-e2d762d82540,,,,,10004.0,1128.0,Jeremy Zucker,,,,album.getInfo,168215.0,2316251.0,ghost|hip hop|pop|indie|my spotify,idle,,https://www.last.fm/music/Jeremy+Zucker/idle,,,,,,3080,9.210840247017833,7.029087564149662,0.0,0.0,0.8715377628843034,0.9286807318712134,0.0,0.0,1.0,59.07743633837489
4aac6a46-8a24-43c3-b1fc-1cb048796ea6,Fabulist,EP,,2017-04-21,slenderbodies,f69f63c2-0d91-4e76-9690-62ad9b4473ed,,electronic|indie pop|indie rock|pop|rock,electronic|indie pop|indie rock|pop|rock,,9126.0,1096.0,slenderbodies,pop|electronic|indie pop|rock|indie rock,,,album.getInfo,135394.0,1193549.0,like|discovered|like a lot|spotify radio - radio|spotify radio - album,Fabulist,,https://www.last.fm/music/slenderbodies/Fabulist,,,,,,3269,9.118992332516877,7.00033446027523,0.0,0.0,0.8628470328550132,0.9248818812656431,0.0,0.0,1.0,58.69728377523832
af959345-1725-4e75-b554-e9687e2f71c4,Harmony of Difference,EP,,2017-09-29,Kamasi Washington,c7a3e868-c6d8-4512-a5ef-f6cbe42899b0,,jazz,jazz,,8656.0,1004.0,Kamasi Washington,jazz,,,album.getInfo,92851.0,942860.0,2017|jazz|2017 releases|jazz fusion|spiritual jazz,Harmony of Difference,,https://www.last.fm/music/Kamasi+Washington/Harmony+of+Difference,,,,,,3108,9.066123521215774,6.912742820493176,0.0,0.0,0.8578445396739341,0.9133093026917927,0.0,0.0,1.0,58.290744942423544
