release_group_id,title,primary_type,secondary_types,first_release_date,artist_name,artist_ids,disambiguation,genres,tags,score,lb_total_listen_count,lb_total_user_count,artist_name_meta,tags_meta,lb_sitewide_listen_count_month,artist_catalog_strength,lastfm_source_used,lastfm_listeners,lastfm_playcount,lastfm_tags_item,lastfm_album_name,lastfm_track_name,lastfm_url,lastfm_error,lastfm_country_chart_hits,lastfm_best_country_rank,lastfm_total_country_playcount,lastfm_countries,days_since_release,log1p_lb_total_listen_count,log1p_lb_total_user_count,log1p_lb_sitewide_listen_count_month,log1p_artist_catalog_strength,score_popularity,score_users,score_sitewide,score_artist_strength,score_recency,trend_score_v0
3329907d-a274-44d6-86c9-734214d8e038,Sail Out,EP,,2013-01-01,Jhené Aiko,ceb3f5b7-9f1a-430f-afbe-976fdcf30482,,contemporary r&b,contemporary r&b,,17625.0,2252.0,Jhené Aiko,contemporary r&b,,,album.getInfo,690229.0,13184100.0,rnb|soul|r&b|chill|childish gambino,Sail Out,,https://www.last.fm/music/Jhen%C3%A9+Aiko/Sail+Out,,,,,,4841,9.777130363659605,7.720017940432244,0.0,0.0,0.9867788923169972,1.0,0.0,0.0,1.0,64.5372612310949
40cbf9bc-8684-404a-aaf2-e0e0c9c00c37,Haunted House,EP,,2013-05-06,Knife Party,82a8aee6-0772-4399-9238-b5903eab413f,,electronic,electronic,,19686.0,1670.0,Knife Party,electronic,,,album.getInfo,138276.0,1182161.0,electro house|dubstep|2013|electronic|big room,Haunted House,,https://www.last.fm/music/Knife+Party/Haunted+House,,,,,,4716,9.887713798420087,7.421177528595393,0.0,0.0,0.9979397744166313,0.961290192051015,0.0,0.0,1.0,64.1536959456024
b4902951-e327-455e-8df1-89e3e96c6a83,Calling All Heroes,EP,,2013-10-29,Adventure Club,b9696d80-70c9-4c3d-be9d-8a525b125d23,,dance|electro house,dance|electro house,,16163.0,2145.0,Adventure Club,dance|electro house,,,album.getInfo,31992.0,194840.0,,Calling All Heroes,,https://www.last.fm/music/Adventure+Club/Calling+All+Heroes,,,,,,4540,9.690541826198364,7.671360923190644,0.0,0.0,0.9780397492448197,0.993697292206179,0.0,0.0,1.0,64.10533706769228
f873226e-45b8-4117-a96f-8fec2f9bdafe,Stay Ugly,EP,,2013-04-11,CRIM3S,a79f19c4-e7eb-4b02-ac79-d4f3db6988d0,,electronic|witch house,electronic|witch house,,20092.0,1258.0,CRIM3S,witch house|electronic,,,album.getInfo,3555.0,95015.0,witch house|electronic|noise|experimental|if this song were a girl i would fuck her or at least touch her tits,STAY UGLY,,https://www.last.fm/music/Crim3s/STAY+UGLY,,,,,,4741,9.908126774684552,7.138073034044347,0.0,0.0,1.0,0.9246187106198209,0.0,0.0,1.0,63.49237421239642
6e7f14fe-40cb-4d11-8af2-3c1d486d686c,Always,EP,,2013-10-03,Panama,8927ba6e-3d7c-4bcf-b484-89cbdfb6ee8d,,electro|electronic|pop,electro|electronic|pop,,11633.0,1602.0,Panama,pop|electronic|electro,,,album.getInfo,66649.0,341078.0,indie|electronic|2013|indie pop|pop,Always,,https://www.last.fm/music/Panama/Always,,,,,,4566,9.361687124470707,7.3796321526095525,0.0,0.0,0.9448493481522654,0.955908679170293,0.0,0.0,1.0,62.18790076873515
ae37167a-903e-44bf-b240-d1f9720c2075,I Want to See Pulaski at Night,EP,,2013-11-12,Andrew Bird,081b133e-ce74-42ba-92c1-c18234acb532,,alternative rock|rock,alternative rock|rock,,12019.0,1320.0,Andrew Bird,alternative rock|rock,,,album.getInfo,203157.0,1910395.0,2013|chamber pop|indie pop|pop|instrumental,I Want to See Pulaski at Night,,https://www.last.fm/music/Andrew+Bird/I+Want+to+See+Pulaski+at+Night,,,,,,4526,9.394327208089198,7.186144304522325,0.0,0.0,0.9481436220711142,0.9308455446568525,0.0,0.0,1.0,61.80193766562604
753b2d6e-80e6-4b40-8b6c-638ded3eefb3,Songs to Break Up To,EP,,2013-10-08,Ta‐ku,81855cde-5030-42de-b1b3-f563dd01e623,,electronic|hip hop,electronic|hip hop,,11007.0,1066.0,Ta‐ku,electronic|hip hop,,,album.getInfo,77.0,783.0,,Songs To Break Up To,,https://www.last.fm/music/Ta%E2%80%90ku/Songs+To+Break+Up+To,,,,,,4561,9.306377560173125,6.9726062513017535,0.0,0.0,0.9392671058621386,0.9031852393482076,0.0,0.0,1.0,60.938053492139
9e562e6a-cac0-4d3b-8c47-f96455eba25b,Amsterdam Twerk Music,EP,,2013-09-26,Yellow Claw,759abafc-c4eb-4018-8554-f29a9d842779,,electronic|hip hop|moombahton|twerk,electronic|hip hop|moombahton|twerk,,7088.0,1415.0,Yellow Claw,electronic|hip hop|moombahton|twerk,,,album.getInfo,111652.0,608505.0,trap|riverdale|yellow claw|house|hairy chest,Amsterdam Twerk Music,,https://www.last.fm/music/Yellow+Claw/Amsterdam+Twerk+Music,,,,,,4573,8.866299565855018,7.255591274253665,0.0,0.0,0.8948512435780068,0.9398412452196223,0.0,0.0,1.0,60.11661842962268
ee8fd38e-8c38-4d43-bb4a-7bd332f10f29,Tongue EP,EP,,2013-05-08,Maribou State,72034a05-bcd8-40c2-8255-3ee4ac0e7ef0,,,,,7841.0,1179.0,Maribou State,,,,album.getInfo,82245.0,509219.0,to listen at night|electronic|ambient|future garage|dubstep,Tongue EP,,https://www.last.fm/music/Maribou+State/Tongue+EP,,,,,,4714,8.967249182852276,7.07326971745971,0.0,0.0,0.9050398109321496,0.9162245181341738,0.0,0.0,1.0,60.000883745308705
8ec3c767-a998-4e09-bf62-705106abea32,Tape Two,EP,,2013-06-11,Young Fathers,24aa5c20-a275-468a-93a9-b3d96b344b6c,,electronic|hip hop,electronic|hip hop,,8293.0,906.0,Young Fathers,electronic|hip hop,,,album.getInfo,129502.0,1222849.0,2013|rap|fav|anticon|indie,Tape Two,,https://www.last.fm/music/Young+Fathers/Tape+Two,,,,,,4680,9.023287640806327,6.810142450115136,0.0,0.0,0.9106956184554476,0.8821407544208163,0.0,0.0,1.0,59.51716173435698
61e824d4-9980-4d5c-a696-e6233c1bc239,Low High Low,EP,,2013-10-08,Max Frost,743ff4c0-64fa-4974-aae3-ab33e586e941,,electronic|indie rock|rock|synth-pop,electronic|indie rock|rock|synth-pop,,6904.0,1121.0,Max Frost,electronic|indie rock|synth-pop|rock,,,album.getInfo,83401.0,529964.0,4|indie pop|soul|trip-hop|indie,Low High Low,,https://www.last.fm/music/Max+Frost/Low+High+Low,,,,,,4561,8.840001065843392,7.022868086082641,0.0,0.0,0.8921970082609115,0.9096958245785411,0.0,0.0,1.0,59.42081178070272
ad2060f7-65b9-4347-a946-3467419b7cf7,Things That Happen at Day,EP,,2013-01-01,Milo,447a6547-f5c5-4b81-a0bb-6ff41084dd77,,,,,8349.0,859.0,Milo,,,,album.getInfo,3851.0,136732.0,hip-hop|indie rap|rap|abstract hip-hop|indie hiphop,Things That Happen At Day,,https://www.last.fm/music/Milo/Things+That+Happen+At+Day,,,,,,4841,9.030016817844901,6.756932389247553,0.0,0.0,0.9113747757968501,0.8752482755071463,0.0,0.0,1.0,59.40308266303268
2e70cf0e-1ba8-4547-b4e7-601fc4e009b1,Secret Weapon EP,EP,,2013-12-02,Au5 & Fractal,3569c2ed-2315-40d9-b041-3c48dae1be43|19f49901-757d-4dd5-a819-29d013e252cc,,dubstep|electro house|electronic|melodic dubstep|progressive house,dubstep|electro house|electronic|melodic dubstep|progressive house,,7864.0,842.0,Au5 & Fractal,melodic dubstep|electronic|progressive house|dubstep|electro house,,,album.getInfo,2396.0,23791.0,,Secret Weapon EP,,https://www.last.fm/music/Au5+&+Fractal/Secret+Weapon+EP,,,,,,4506,8.970177815492379,6.736966958001855,0.0,0.0,0.9053353897743164,0.8726620857599525,0.0,0.0,1.0,59.139980357300125
2ca14c97-afb7-4186-b5c4-ab39ab6541d9,Carry On Tradition,EP,,2013-10-29,Vinnie Paz,e6b27418-4972-42ba-9868-feb663e8840c,,,,,7817.0,766.0,Vinnie Paz,,,,album.getInfo,25604.0,357809.0,2013|hip-hop|underground hip-hop|rap|hardcore rap,Carry on Tradition,,https://www.last.fm/music/Vinnie+Paz/Carry+on+Tradition,,,,,,4540,8.9641840463529,6.642486801367256,0.0,0.0,0.9047304551306868,0.8604237519421286,0.0,0.0,1.0,58.87404096841661
06f163b2-5cc1-4fbf-ab38-b6b25602b6aa,Love Songs: Part One,EP,,2013-03-25,Romare,b014d579-b549-4b21-b90d-5264e0433988,,electronic|footwork|hip hop,bass music|electronic|footwork|hip hop,,5778.0,1107.0,Romare,electronic|hip hop|bass music|footwork,,,album.getInfo,1926.0,20396.0,experimental|gilles peterson|played|electronic|funk,Love Songs: Part One,,https://www.last.fm/music/Romare/Love+Songs:+Part+One,,,,,,4758,8.661985936317778,7.010311867307229,0.0,0.0,0.874230430564263,0.9080693751489808,0.0,0.0,1.0,58.75945257272882
445b7f5f-a02f-4521-9ea6-723d22cb240d,Relativity 3,EP,,2013-03-04,Lemaitre,7bc012a7-c5cc-4e7a-9ca6-15db02bbcde4,,disco|electro house|electronic|synth-pop,disco|electro house|electronic|synth-pop,,7244.0,810.0,Lemaitre,electronic|synth-pop|disco|electro house,,,album.getInfo,3356.0,57967.0,hollister|indie|continuum|relativity 3|chill,Relativity 3,,https://www.last.fm/music/Lem%C3%A2itre/Relativity+3,,,,,,4779,8.888066854754783,6.698268054115413,0.0,0.0,0.8970481562129341,0.8676492860248944,0.0,0.0,1.0,58.74967118795058
853a8c70-984a-46d5-8b17-f7a0ce4737b2,"Metropolis, Part 2",EP,,2013-02-19,The M Machine,590131d9-8d4c-4b2d-987d-62ddd3e34aaf,,dance,dance,,6529.0,875.0,The M Machine,dance,,,album.getInfo,58.0,384.0,electronic|dance|electronica|piano|electro,"Metropolis, Part 2",,"https://www.last.fm/music/The+M+Machine/Metropolis,+Part+2",,,,,,4792,8.784162222270476,6.775366090936392,0.0,0.0,0.8865613472684033,0.8776360551510634,0.0,0.0,1.0,58.58236825741538
